id,name,code,reason,date,close,zhangdie,zhangfu,huanshou,chengjiaoe,chengjiaoliang,ddejingliang,market
90530954,海亮股份,002203,AI散热+铜箔+固态电池+一季报增长,2026-06-18,25.52,2.32,10.0,3.55,194230,785434,0.0,33
90531130,碧兴物联,688671,数字水利+物联网+AI应用,2026-06-18,30.78,5.13,20.0,12.41,16988,58121,2.04,17
90531160,世名科技,300522,电子级碳氢树脂+PCB概念+光刻胶,2026-06-18,19.21,3.2,19.988,18.66,89587,490912,0.0,33
90531288,江南新材,603124,PCB铜基新材料+铜球扩产+液冷散热,2026-06-18,211.31,19.21,10.0,5.59,89685,43408,0.55,17
90531966,韩建河山,603616,拟收购PEEK材料+中标水利大单+PCCP管材,2026-06-18,6.46,0.59,10.051,14.45,34808,555113,4.06,17
90532371,埃斯顿,002747,人形机器人+工业机器人出货量第一+具身智能,2026-06-18,36.5,3.32,10.006,9.32,257806,729034,0.0,33
90532911,威派格,603956,液冷泵+智慧水务+六张网建设,2026-06-18,4.98,0.45,9.934,3.94,10785,224743,1.03,17
90533239,常润股份,603201,千斤顶龙头+跨境电商+泰国产能,2026-06-18,19.28,1.75,9.983,5.13,18180,96579,0.37,17
90533303,天娱数科,002354,3D视觉+具身智能数据集+算力租赁+AI营销,2026-06-18,7.73,0.7,9.957,23.03,277130,3743585,0.0,33
90533326,华森制药,002907,创新药+中成药国际化+仿创结合,2026-06-18,13.3,1.21,10.008,3.52,15371,118190,0.0,33
90533714,九安医疗,002432,参股月之暗面+拟投资阶跃星辰+AI医疗,2026-06-18,73.51,6.68,9.996,4.78,157671,222515,0.0,33
90534347,*ST正平,603843,绿色算力+智算科技+预重整+矿业,2026-06-18,8.8,0.42,5.012,2.6,15906,181821,0.0,22
90534360,裕太微,688515,定增+高速通信芯片+人形机器人,2026-06-18,238.8,39.8,20.0,14.19,161525,70702,1.92,17
90534407,兴业科技,002674,机器人电子皮肤+汽车内饰皮革+一季报增长,2026-06-18,17.9,1.63,10.018,7.97,40618,233087,0.0,33
